tosquarerank,tosquarefile,piece,COUNT(*),turn,avgrating
8,7,bishop,2286,White,1200
8,7,bishop,4471,White,1400
8,7,bishop,4380,White,1600
8,7,bishop,2322,White,1800
8,7,bishop,755,White,2000
8,7,bishop,169,White,2200
8,7,bishop,7,White,2400
8,7,king,664,Black,800
8,7,king,15856,Black,1000
8,7,king,102554,Black,1200
8,7,king,246419,Black,1400
8,7,king,248827,Black,1600
8,7,king,124324,Black,1800
8,7,king,37472,Black,2000
8,7,king,7963,Black,2200
8,7,king,627,Black,2400
8,7,king,46,Black,2600
8,7,king,25,White,800
8,7,king,279,White,1000
8,7,king,1468,White,1200
8,7,king,3338,White,1400
8,7,king,3499,White,1600
8,7,king,2011,White,1800
8,7,king,790,White,2000
8,7,king,157,White,2200
8,7,king,21,White,2400
8,7,king,3,White,2600
8,7,knight,29,Black,800
8,7,knight,528,Black,1000
8,7,knight,2804,Black,1200
8,7,knight,7514,Black,1400
8,7,knight,8693,Black,1600
8,7,knight,4661,Black,1800
8,7,knight,1584,Black,2000
8,7,knight,330,Black,2200
8,7,knight,26,Black,2400
8,7,knight,2,Black,2600
8,7,knight,15,White,800
8,7,knight,274,White,1000
8,7,knight,1234,White,1200
8,7,knight,2574,White,1400
8,7,knight,2306,White,1600
8,7,knight,1090,White,1800
8,7,knight,331,White,2000
8,7,knight,65,White,2200
8,7,knight,8,White,2400
8,7,knight,1,White,2600
8,7,pawn,26,White,800
8,7,pawn,522,White,1000
8,7,pawn,2555,White,1200
8,7,pawn,5812,White,1400
8,7,pawn,5937,White,1600
8,7,pawn,3436,White,1800
8,7,pawn,1257,White,2000
8,7,pawn,256,White,2200
8,7,pawn,21,White,2400
8,7,queen,24,Black,800
8,7,queen,437,Black,1000
8,7,queen,2440,Black,1200
8,7,queen,6160,Black,1400
8,7,queen,6104,Black,1600
8,7,queen,3096,Black,1800
8,7,queen,957,Black,2000
8,7,queen,193,Black,2200
8,7,queen,14,Black,2400
8,7,queen,99,White,800
8,7,queen,1570,White,1000
8,7,queen,6384,White,1200
8,7,queen,11671,White,1400
8,7,queen,10355,White,1600
8,7,queen,5210,White,1800
8,7,queen,1761,White,2000
8,7,queen,319,White,2200
8,7,queen,21,White,2400
8,7,queen,2,White,2600
8,7,rook,336,Black,800
8,7,rook,6366,Black,1000
8,7,rook,36438,Black,1200
8,7,rook,87283,Black,1400
8,7,rook,86282,Black,1600
8,7,rook,41247,Black,1800
8,7,rook,12443,Black,2000
8,7,rook,2738,Black,2200
8,7,rook,192,Black,2400
8,7,rook,12,Black,2600
8,7,rook,66,White,800
8,7,rook,1300,White,1000
8,7,rook,7342,White,1200
8,7,rook,17430,White,1400
8,7,rook,18294,White,1600
8,7,rook,9900,White,1800
8,7,rook,3313,White,2000
8,7,rook,792,White,2200
8,7,rook,62,White,2400
8,7,rook,3,White,2600
8,8,bishop,18,Black,800
8,8,bishop,242,Black,1000
8,8,bishop,1475,Black,1200
8,8,bishop,4160,Black,1400
8,8,bishop,5130,Black,1600
8,8,bishop,3384,Black,1800
8,8,bishop,1061,Black,2000
8,8,bishop,266,Black,2200
8,8,bishop,26,Black,2400
8,8,bishop,1,Black,2600
8,8,bishop,45,White,800
8,8,bishop,796,White,1000
8,8,bishop,3282,White,1200
8,8,bishop,5778,White,1400
8,8,bishop,4182,White,1600
8,8,bishop,1645,White,1800
8,8,bishop,435,White,2000
8,8,bishop,98,White,2200
8,8,bishop,13,White,2400
8,8,bishop,1,White,2600
8,8,king,203,Black,800
8,8,king,4611,Black,1000
8,8,king,34486,Black,1200
8,8,king,96320,Black,1400
8,8,king,110098,Black,1600
8,8,king,58831,Black,1800
8,8,king,18356,Black,2000
8,8,king,3761,Black,2200
8,8,king,294,Black,2400
8,8,king,24,Black,2600
8,8,king,11,White,800
8,8,king,194,White,1000
8,8,king,1002,White,1200
8,8,king,2148,White,1400
8,8,king,2302,White,1600
8,8,king,1328,White,1800
8,8,king,511,White,2000
8,8,king,103,White,2200
8,8,king,5,White,2400
8,8,king,2,White,2600
8,8,knight,3,Black,800
8,8,knight,73,Black,1000
8,8,knight,466,Black,1200
8,8,knight,1418,Black,1400
8,8,knight,1771,Black,1600
8,8,knight,984,Black,1800
8,8,knight,273,Black,2000
8,8,knight,56,Black,2200
8,8,knight,9,Black,2400
8,8,knight,1,Black,2600
8,8,knight,51,White,800
8,8,knight,983,White,1000
8,8,knight,3951,White,1200
8,8,knight,6593,White,1400
8,8,knight,4793,White,1600
8,8,knight,1953,White,1800
8,8,knight,548,White,2000
8,8,knight,101,White,2200
8,8,knight,5,White,2400
8,8,pawn,39,White,800
8,8,pawn,750,White,1000
8,8,pawn,3487,White,1200
8,8,pawn,7296,White,1400
8,8,pawn,7591,White,1600
8,8,pawn,4155,White,1800
8,8,pawn,1499,White,2000
8,8,pawn,339,White,2200
8,8,pawn,32,White,2400
8,8,pawn,1,White,2600
8,8,queen,12,Black,800
8,8,queen,364,Black,1000
8,8,queen,1786,Black,1200
8,8,queen,4198,Black,1400
8,8,queen,4177,Black,1600
8,8,queen,2082,Black,1800
8,8,queen,638,Black,2000
8,8,queen,146,Black,2200
8,8,queen,13,Black,2400
8,8,queen,1,Black,2600
8,8,queen,156,White,800
8,8,queen,2607,White,1000
8,8,queen,10481,White,1200
8,8,queen,18108,White,1400
8,8,queen,15445,White,1600
8,8,queen,7659,White,1800
8,8,queen,2360,White,2000
8,8,queen,458,White,2200
8,8,queen,24,White,2400
8,8,queen,6,White,2600
8,8,rook,99,Black,800
8,8,rook,2169,Black,1000
8,8,rook,14069,Black,1200
8,8,rook,36741,Black,1400
8,8,rook,39555,Black,1600
8,8,rook,20735,Black,1800
8,8,rook,6583,Black,2000
8,8,rook,1513,Black,2200
8,8,rook,116,Black,2400
8,8,rook,2,Black,2600
8,8,rook,71,White,800
8,8,rook,1742,White,1000
8,8,rook,9728,White,1200
8,8,rook,22087,White,1400
8,8,rook,22920,White,1600
8,8,rook,12384,White,1800
8,8,rook,3955,White,2000
8,8,rook,937,White,2200
8,8,rook,66,White,2400
8,8,rook,2,White,2600
7,1,bishop,18,Black,800
7,1,bishop,327,Black,1000
7,1,bishop,2732,Black,1200
7,1,bishop,7969,Black,1400
7,1,bishop,8422,Black,1600
7,1,bishop,4383,Black,1800
7,1,bishop,1347,Black,2000
7,1,bishop,315,Black,2200
7,1,bishop,21,Black,2400
7,1,bishop,37,White,800
7,1,bishop,930,White,1000
7,1,bishop,5279,White,1200
7,1,bishop,10606,White,1400
7,1,bishop,10088,White,1600
7,1,bishop,5097,White,1800
7,1,bishop,1690,White,2000
7,1,bishop,392,White,2200
7,1,bishop,24,White,2400
7,1,bishop,3,White,2600
7,1,king,60,Black,800
7,1,king,1134,Black,1000
7,1,king,7334,Black,1200
7,1,king,16797,Black,1400
7,1,king,15743,Black,1600
7,1,king,7615,Black,1800
7,1,king,2502,Black,2000
7,1,king,607,Black,2200
7,1,king,33,Black,2400
7,1,king,3,Black,2600
7,1,king,20,White,800
7,1,king,473,White,1000
7,1,king,2381,White,1200
7,1,king,4925,White,1400
7,1,king,5131,White,1600
7,1,king,2832,White,1800
7,1,king,1053,White,2000
7,1,king,201,White,2200
7,1,king,15,White,2400
7,1,king,1,White,2600
7,1,knight,23,Black,800
7,1,knight,348,Black,1000
7,1,knight,2443,Black,1200
7,1,knight,6582,Black,1400
7,1,knight,6692,Black,1600
7,1,knight,3049,Black,1800
7,1,knight,881,Black,2000
7,1,knight,208,Black,2200
7,1,knight,9,Black,2400
7,1,knight,2,Black,2600
7,1,knight,61,White,800
7,1,knight,1096,White,1000
7,1,knight,5096,White,1200
