tosquarerank,tosquarefile,piece,COUNT(*),turn,Skill
3,5,king,44309,White,Good
3,5,knight,33710,Black,Bad
3,5,knight,54097,Black,Good
3,5,knight,30747,White,Bad
3,5,knight,51874,White,Good
3,5,pawn,50588,Black,Bad
3,5,pawn,94943,Black,Good
3,5,pawn,122651,White,Bad
3,5,pawn,235984,White,Good
3,5,queen,22853,Black,Bad
3,5,queen,34243,Black,Good
3,5,queen,27177,White,Bad
3,5,queen,42676,White,Good
3,5,rook,15121,Black,Bad
3,5,rook,26503,Black,Good
3,5,rook,14803,White,Bad
3,5,rook,27999,White,Good
3,6,bishop,100948,Black,Bad
3,6,bishop,127469,Black,Good
3,6,bishop,18983,White,Bad
3,6,bishop,26358,White,Good
3,6,king,13885,Black,Bad
3,6,king,21521,Black,Good
3,6,king,22066,White,Bad
3,6,king,37210,White,Good
3,6,knight,59513,Black,Bad
3,6,knight,71814,Black,Good
3,6,knight,15698,White,Bad
3,6,knight,26815,White,Good
3,6,pawn,46133,Black,Bad
3,6,pawn,76484,Black,Good
3,6,pawn,106193,White,Bad
3,6,pawn,177241,White,Good
3,6,queen,22277,Black,Bad
3,6,queen,28334,Black,Good
3,6,queen,42114,White,Bad
3,6,queen,50500,White,Good
3,6,rook,11166,Black,Bad
3,6,rook,17880,Black,Good
3,6,rook,10538,White,Bad
3,6,rook,17365,White,Good
3,7,bishop,13808,Black,Bad
3,7,bishop,16323,Black,Good
3,7,bishop,18191,White,Bad
3,7,bishop,37225,White,Good
3,7,king,8399,Black,Bad
3,7,king,11820,Black,Good
3,7,king,13475,White,Bad
3,7,king,19369,White,Good
3,7,knight,8616,Black,Bad
3,7,knight,13041,Black,Good
3,7,knight,26051,White,Bad
3,7,knight,36808,White,Good
3,7,pawn,32310,Black,Bad
3,7,pawn,60696,Black,Good
3,7,pawn,83353,White,Bad
3,7,pawn,162141,White,Good
3,7,queen,36971,Black,Bad
3,7,queen,38752,Black,Good
3,7,queen,16017,White,Bad
3,7,queen,28227,White,Good
3,7,rook,11180,Black,Bad
3,7,rook,17322,Black,Good
3,7,rook,9761,White,Bad
3,7,rook,14814,White,Good
4,0,bishop,13591,Black,Bad
4,0,bishop,11779,Black,Good
4,0,bishop,8141,White,Bad
4,0,bishop,8832,White,Good
4,0,king,7830,Black,Bad
4,0,king,8761,Black,Good
4,0,king,5601,White,Bad
4,0,king,7461,White,Good
4,0,knight,23636,Black,Bad
4,0,knight,32049,Black,Good
4,0,knight,6571,White,Bad
4,0,knight,9567,White,Good
4,0,pawn,85726,Black,Bad
4,0,pawn,144371,Black,Good
4,0,pawn,35167,White,Bad
4,0,pawn,59047,White,Good
4,0,queen,38212,Black,Bad
4,0,queen,57366,Black,Good
4,0,queen,11188,White,Bad
4,0,queen,12793,White,Good
4,0,rook,10187,Black,Bad
4,0,rook,16264,Black,Good
4,0,rook,13242,White,Bad
4,0,rook,20733,White,Good
4,1,bishop,20838,Black,Bad
4,1,bishop,26234,Black,Good
4,1,bishop,103697,White,Bad
4,1,bishop,81671,White,Good
4,1,king,13654,Black,Bad
4,1,king,18509,Black,Good
4,1,king,10092,White,Bad
4,1,king,15584,White,Good
4,1,knight,8736,Black,Bad
4,1,knight,12811,Black,Good
4,1,knight,55991,White,Bad
4,1,knight,56836,White,Good
4,1,pawn,138510,Black,Bad
4,1,pawn,201987,Black,Good
4,1,pawn,54181,White,Bad
4,1,pawn,89725,White,Good
4,1,queen,16427,Black,Bad
4,1,queen,19752,Black,Good
4,1,queen,24556,White,Bad
4,1,queen,22612,White,Good
4,1,rook,9167,Black,Bad
4,1,rook,16311,Black,Good
4,1,rook,11807,White,Bad
4,1,rook,20822,White,Good
4,2,bishop,96877,Black,Bad
4,2,bishop,99604,Black,Good
4,2,bishop,21087,White,Bad
4,2,bishop,36455,White,Good
4,2,king,18093,Black,Bad
4,2,king,28646,Black,Good
4,2,king,11571,White,Bad
4,2,king,20106,White,Good
4,2,knight,36022,Black,Bad
4,2,knight,72225,Black,Good
4,2,knight,28998,White,Bad
4,2,knight,49111,White,Good
4,2,pawn,170751,Black,Bad
4,2,pawn,254950,Black,Good
4,2,pawn,66133,White,Bad
4,2,pawn,114460,White,Good
4,2,queen,26844,Black,Bad
4,2,queen,41174,Black,Good
4,2,queen,17390,White,Bad
4,2,queen,22902,White,Good
4,2,rook,11071,Black,Bad
4,2,rook,24110,Black,Good
4,2,rook,14295,White,Bad
4,2,rook,27637,White,Good
4,3,bishop,30681,Black,Bad
4,3,bishop,56896,Black,Good
4,3,bishop,44726,White,Bad
4,3,bishop,57594,White,Good
4,3,king,19531,Black,Bad
4,3,king,35503,Black,Good
4,3,king,11876,White,Bad
4,3,king,21620,White,Good
4,3,knight,88361,Black,Bad
4,3,knight,153529,Black,Good
4,3,knight,92774,White,Bad
4,3,knight,108668,White,Good
4,3,pawn,306223,Black,Bad
4,3,pawn,384140,Black,Good
4,3,pawn,169374,White,Bad
4,3,pawn,269444,White,Good
4,3,queen,54300,Black,Bad
4,3,queen,65741,Black,Good
4,3,queen,37843,White,Bad
4,3,queen,45834,White,Good
4,3,rook,17367,Black,Bad
4,3,rook,32620,Black,Good
4,3,rook,19235,White,Bad
4,3,rook,34937,White,Good
4,4,bishop,38577,Black,Bad
4,4,bishop,71977,Black,Good
4,4,bishop,33210,White,Bad
4,4,bishop,55089,White,Good
4,4,king,21861,Black,Bad
4,4,king,43987,Black,Good
4,4,king,13369,White,Bad
4,4,king,23965,White,Good
4,4,knight,95349,Black,Bad
4,4,knight,167357,Black,Good
4,4,knight,124263,White,Bad
4,4,knight,169721,White,Good
4,4,pawn,308907,Black,Bad
4,4,pawn,329465,Black,Good
4,4,pawn,165611,White,Bad
